"Schengen State","Country where consulate is located","Consulate","Number of Visa Applications (including multiple ATVs, MEVs and LTVs)","Total ATVs and uniform visas issued (including multiple ATVs, MEVs and LTVs)","Total ATVs and uniform visas not issued","Not issued rate for ATVs and uniform visas"
"France","MOROCCO","CASABLANCA","23,123","13,483","9,114","40.33%"
"France","MOROCCO","FES","421","336","132","28.21%"
"France","MOROCCO","MARRAKECH","120","96","29","23.20%"
"France","MOROCCO","RABAT","32,276","18,333","10,578","36.59%"
"France","MOROCCO","TANGER","1,424","1,344","155","10.34%"
"France","MOZAMBIQUE","MAPUTO","533","436","32","6.84%"
"France","MYANMAR","YANGON","569","558","4","0.71%"
"France","NEW ZEALAND","WELLINGTON","24","21","2","8.70%"
"France","NIGER","NIAMEY","2,606","2,190","287","11.59%"
"France","NIGERIA","ABUJA","4,896","2,995","1,915","39.00%"
"France","NIGERIA","LAGOS","9,974","6,693","2,984","30.84%"
"France","NORTH MACEDONIA","SKOPJE","90","86","5","5.49%"
"France","NORWAY","OSLO","2","2","0",""
"France","OMAN","MUSCAT","1,538","1,409","113","7.42%"
"France","PAKISTAN","ISLAMABAD","1,188","772","314","28.91%"
"France","PANAMA","PANAMA CITY","37","35","0",""
"France","PERU","LIMA","39","34","2","5.56%"
"France","PHILIPPINES","MANILA","5,769","5,497","223","3.90%"
"France","QATAR","DOHA","10,593","9,938","624","5.91%"
"France","ROMANIA","BUCHAREST","819","774","20","2.52%"
"France","RUSSIAN FEDERATION","MOSCOW","6,052","5,464","172","3.05%"
"France","RWANDA","KIGALI","125","122","3","2.40%"
"France","SAINT LUCIA","CASTRIES","114","102","4","3.77%"
"France","SAUDI ARABIA","JEDDAH","35,477","32,782","2,016","5.79%"
"France","SAUDI ARABIA","RIYADH","37,287","35,314","834","2.31%"
"France","SENEGAL","DAKAR","12,749","7,064","3,166","30.95%"
"France","SERBIA","BELGRADE","78","68","1","1.45%"
"France","SINGAPORE","SINGAPORE","2,403","2,285","47","2.02%"
"France","SOUTH AFRICA","CAPE TOWN","2,671","2,308","108","4.47%"
"France","SOUTH AFRICA","JOHANNESBURG","4,326","4,030","167","3.98%"
"France","SOUTH KOREA","SEOUL","164","138","20","12.66%"
"France","SPAIN","MADRID","48","53","1","1.85%"
"France","SRI LANKA","COLOMBO","1,582","1,191","371","23.75%"
"France","SUDAN","KHARTOUM","912","701","197","21.94%"
"France","SURINAME","PARAMARIBO","35","32","0",""
"France","SWEDEN","STOCKHOLM","1","2","0",""
"France","SWITZERLAND","GENEVA","15","15","0",""
"France","TAIWAN","TAIPEI","19","17","0",""
"France","TANZANIA","DAR ES SALAAM","569","392","151","27.81%"
"France","THAILAND","BANGKOK","4,572","4,074","325","7.39%"
"France","TOGO","LOME","2,647","2,125","463","17.89%"
"France","TUNISIA","TUNIS","41,763","28,024","8,824","23.95%"
"France","TURKEY","ANKARA","15,596","12,479","2,645","17.49%"
"France","TURKEY","ISTANBUL","29,530","24,215","3,286","11.95%"
"France","UGANDA","KAMPALA","685","604","35","5.48%"
"France","UKRAINE","KYIV","171","92","46","33.33%"
"France","UNITED ARAB EMIRATES","ABU DHABI","12,080","10,383","1,261","10.83%"
"France","UNITED KINGDOM","LONDON","20,028","18,632","915","4.68%"
"France","URUGUAY","MONTEVIDEO","1","1","0",""
"France","USA","WASHINGTON, DC","7,766","6,987","516","6.88%"
"France","UZBEKISTAN","TASHKENT","1,139","871","100","10.30%"
"France","VIETNAM","HANOI","454","397","7","1.73%"
"France","VIETNAM","HO CHI MINH","284","241","9","3.60%"
"France","ZIMBABWE","HARARE","206","174","19","9.84%"
"Germany","AFGHANISTAN","KABUL","95","28","67","70.53%"
"Germany","ALBANIA","TIRANA","54","43","11","20.37%"
"Germany","ALGERIA","ALGIERS","2,428","620","1,084","63.62%"
"Germany","ANGOLA","LUANDA","354","328","19","5.48%"
"Germany","ARGENTINA","BUENOS AIRES","19","17","1","5.56%"
"Germany","ARMENIA","YEREVAN","2,385","2,158","215","9.06%"
"Germany","AUSTRALIA","SYDNEY","7","3","3","50.00%"
"Germany","AUSTRIA","VIENNA","15","11","1","8.33%"
"Germany","AZERBAIJAN","BAKU","3,708","3,243","396","10.88%"
"Germany","BAHRAIN","MANAMA","2,810","2,659","140","5.00%"
"Germany","BANGLADESH","DHAKA","439","429","9","2.05%"
"Germany","BELARUS","MINSK","6,580","6,487","84","1.28%"
"Germany","BELGIUM","BRUSSELS","1","1","0",""
"Germany","BENIN","COTONOU","201","160","34","17.53%"
"Germany","BOLIVIA","LA PAZ","522","477","8","1.65%"
"Germany","BOSNIA AND HERZEGOVINA","SARAJEVO","236","227","9","3.81%"
"Germany","BOTSWANA","GABORONE","74","66","8","10.81%"
"Germany","BRAZIL","RECIFE","2","1","1","50.00%"
"Germany","BRAZIL","RIO DE JANEIRO","7","7","0",""
"Germany","BRAZIL","SAO PAULO","4","3","1","25.00%"
"Germany","BULGARIA","SOFIA","419","407","12","2.86%"
"Germany","BURKINA FASO","OUAGADOUGOU","321","267","44","14.15%"
"Germany","CAMBODIA","PHNOM PENH","98","94","3","3.09%"
"Germany","CAMEROON","YAONDE","339","226","107","32.13%"
"Germany","CANADA","TORONTO","610","552","51","8.46%"
"Germany","CHILE","SANTIAGO DE CHILE","23","21","1","4.55%"
"Germany","CHINA","BEIJING","1,589","1,308","144","9.92%"
"Germany","CHINA","CHENGDU","224","207","10","4.61%"
"Germany","CHINA","GUANGZHOU (CANTON)","1,009","919","28","2.96%"
"Germany","CHINA","SHANGHAI","2,001","1,414","465","24.75%"
"Germany","CHINA","SHENYANG","166","158","6","3.66%"
"Germany","COLOMBIA","BOGOTA","24","23","0",""
"Germany","CONGO (DEMOCRATIC REPUBLIC)","KINSHASA","88","72","13","15.29%"
"Germany","COSTA RICA","SAN JOSE","27","25","1","3.85%"
"Germany","COTE D'IVOIRE","ABIDJAN","582","359","207","36.57%"
"Germany","CROATIA","ZAGREB","96","68","27","28.42%"
"Germany","CUBA","HAVANA","901","618","267","30.17%"
"Germany","CYPRUS","NICOSIA","792","622","162","20.66%"
"Germany","CZECH REPUBLIC","PRAGUE","1","0","0",""
"Germany","DENMARK","COPENHAGEN","1","1","0",""
"Germany","DOMINICAN REPUBLIC","SANTO DOMINGO","778","626","147","19.02%"
"Germany","ECUADOR","QUITO","1,054","982","71","6.74%"
"Germany","EGYPT","CAIRO","13,996","10,039","2,988","22.94%"
"Germany","EL SALVADOR","SAN SALVADOR","5","5","0",""
"Germany","ESTONIA","TALLINN","1","1","0",""
"Germany","ETHIOPIA","ADDIS ABEBA","931","707","221","23.81%"
"Germany","FRANCE","PARIS","1","1","0",""
"Germany","GEORGIA","TBILISSI","24","23","1","4.17%"
"Germany","GHANA","ACCRA","2,042","1,480","550","27.09%"
"Germany","GREECE","ATHENS","9","8","0",""
"Germany","GUATEMALA","GUATEMALA CITY","15","12","2","14.29%"
"Germany","GUINEA","CONAKRY","462","217","240","52.52%"
"Germany","HONDURAS","TEGUCIGALPA","5","5","0",""
"Germany","HONG KONG S.A.R.","HONG KONG","139","134","3","2.19%"
"Germany","INDIA","BANGALORE","663","624","38","5.74%"
"Germany","INDIA","CHENNAI","7","7","0",""
"Germany","INDIA","KOLKATA","125","119","0",""
"Germany","INDIA","MUMBAI","14,328","11,913","2,251","15.89%"
"Germany","INDIA","NEW DELHI","5,508","4,867","628","11.43%"
"Germany","INDONESIA","JAKARTA","3,149","2,888","228","7.32%"
"Germany","IRAN","TEHERAN","4,973","3,345","1,582","32.11%"
"Germany","IRAQ","BAGHDAD","2,326","1,886","434","18.71%"
"Germany","IRAQ","ERBIL","2,817","1,855","828","30.86%"
"Germany","IRELAND","DUBLIN","229","218","3","1.36%"
"Germany","ISRAEL","TEL AVIV","589","556","32","5.44%"
"Germany","ITALY","ROME","8","4","4","50.00%"
"Germany","JAMAICA","KINGSTON","290","232","46","16.55%"
"Germany","JAPAN","OSAKA","61","61","0",""
"Germany","JAPAN","TOKYO","183","160","21","11.60%"
"Germany","JORDAN","AMMAN","4,543","3,725","702","15.86%"
"Germany","KAZAKHSTAN","ALMATY","2,806","2,256","536","19.20%"
"Germany","KAZAKHSTAN","NUR-SULTAN","1,859","1,559","237","13.20%"
"Germany","KENYA","NAIROBI","1,431","1,120","269","19.37%"
"Germany","KOSOVO","PRISTINA","18,707","16,826","1,821","9.77%"
"Germany","KUWAIT","KUWAIT","12,736","12,389","338","2.66%"
"Germany","KYRGYZSTAN","BISHKEK","1,525","1,337","124","8.49%"
"Germany","LAOS","VIENTIANE","24","13","0",""
"Germany","LEBANON","BEIRUT","3,481","2,585","729","22.00%"
"Germany","LITHUANIA","VILNIUS","52","51","1","1.92%"
"Germany","MALAYSIA","KUALA LUMPUR","79","56","23","29.11%"
"Germany","MALI","BAMAKO","616","405","176","30.29%"
"Germany","MAURITANIA","NOUAKCHOTT","354","308","40","11.49%"
"Germany","MEXICO","MEXICO CITY","30","27","0",""
"Germany","MOLDOVA","CHISINAU","68","60","8","11.76%"
"Germany","MONGOLIA","ULAN BATOR","505","467","22","4.50%"
"Germany","MONTENEGRO","PODGORICA","69","39","29","42.65%"
"Germany","MOROCCO","RABAT","794","580","187","24.38%"
"Germany","MOZAMBIQUE","MAPUTO","114","101","7","6.48%"
"Germany","MYANMAR","YANGON","147","141","1","0.70%"
"Germany","NAMIBIA","WINDHOEK","573","487","57","10.48%"
"Germany","NEPAL","KATHMANDU","1,139","824","291","26.10%"
"Germany","NETHERLANDS","AMSTERDAM","6","6","0",""
"Germany","NEW ZEALAND","WELLINGTON","23","18","3","14.29%"
"Germany","NICARAGUA","MANAGUA","1","1","0",""
"Germany","NIGERIA","ABUJA","860","813","35","4.13%"
"Germany","NIGERIA","LAGOS","2,832","1,684","1,122","39.99%"
"Germany","NORTH MACEDONIA","SKOPJE","73","66","7","9.59%"
"Germany","NORWAY","OSLO","2","2","0",""
"Germany","OMAN","MUSCAT","2,213","2,159","50","2.26%"
"Germany","PAKISTAN","ISLAMABAD","2,237","1,705","508","22.96%"
"Germany","PAKISTAN","KARACHI","1,553","1,256","162","11.42%"
"Germany","PALESTINIAN AUTHORITY","RAMALLAH","1,713","1,511","192","11.27%"
"Germany","PANAMA","PANAMA CITY","17","15","2","11.76%"
"Germany","PARAGUAY","ASUNCION","12","10","0",""
"Germany","PERU","LIMA","11","11","0",""
"Germany","PHILIPPINES","MANILA","7,503","7,371","79","1.06%"
"Germany","POLAND","WARSAW","1","1","0",""
"Germany","QATAR","DOHA","9,082","8,706","316","3.50%"
"Germany","ROMANIA","BUCHAREST","215","191","24","11.16%"
"Germany","RUSSIAN FEDERATION","KALININGRAD","1,162","1,132","26","2.25%"
"Germany","RUSSIAN FEDERATION","MOSCOW","20,063","16,202","3,774","18.89%"
"Germany","RUSSIAN FEDERATION","NOVOSIBIRSK","2,303","2,267","8","0.35%"
"Germany","RUSSIAN FEDERATION","ST. PETERSBURG","3,525","3,347","137","3.93%"
"Germany","RUSSIAN FEDERATION","YEKATERINBURG","2,212","1,829","218","10.65%"
"Germany","RWANDA","KIGALI","241","202","34","14.41%"
"Germany","SAUDI ARABIA","JEDDAH","2,475","2,341","81","3.34%"
"Germany","SAUDI ARABIA","RIYADH","12,882","12,550","309","2.40%"
"Germany","SENEGAL","DAKAR","981","602","375","38.38%"
"Germany","SERBIA","BELGRADE","791","764","17","2.18%"
"Germany","SINGAPORE","SINGAPORE","2,440","2,345","87","3.58%"
"Germany","SLOVENIA","LJUBLJANA","116","67","40","37.38%"
"Germany","SOUTH AFRICA","CAPE TOWN","1,874","1,693","149","8.09%"
"Germany","SOUTH AFRICA","PRETORIA","2,806","2,118","363","14.63%"
"Germany","SOUTH KOREA","SEOUL","63","51","11","17.74%"
"Germany","SPAIN","MADRID","5","5","0",""
"Germany","SRI LANKA","COLOMBO","533","250","261","51.08%"
"Germany","SUDAN","KHARTOUM","275","183","85","31.72%"
"Germany","SWEDEN","STOCKHOLM","1","1","0",""
"Germany","SWITZERLAND","BERN","10","8","0",""
"Germany","SYRIA","DAMASCUS","567","248","314","55.87%"
"Germany","TAIWAN","TAIPEI","49","42","4","8.70%"
"Germany","TAJIKISTAN","DUSHANBE","1,017","679","302","30.78%"
"Germany","TANZANIA","DAR ES SALAAM","578","488","79","13.93%"
"Germany","THAILAND","BANGKOK","6,113","5,260","537","9.26%"
"Germany","TOGO","LOME","198","167","30","15.23%"
"Germany","TRINIDAD AND TOBAGO","PORT OF SPAIN","33","30","2","6.25%"
"Germany","TUNISIA","TUNIS","6,247","4,589","1,583","25.65%"
"Germany","TURKEY","ANKARA","32,351","22,277","10,018","31.02%"
"Germany","TURKEY","ISTANBUL","48,339","39,501","8,648","17.96%"
"Germany","TURKEY","IZMIR","12,902","10,662","2,141","16.72%"
"Germany","TURKMENISTAN","ASHGABAT","43","41","0",""
"Germany","UGANDA","KAMPALA","749","679","56","7.62%"
"Germany","UKRAINE","KYIV","595","479","102","17.56%"
"Germany","UNITED ARAB EMIRATES","DUBAI","7,917","6,123","1,720","21.93%"
"Germany","UNITED KINGDOM","EDINBURGH","221","190","24","11.21%"
"Germany","UNITED KINGDOM","LONDON","4,231","4,041","73","1.77%"
"Germany","URUGUAY","MONTEVIDEO","3","3","0",""
"Germany","USA","ATLANTA, GA","310","295","7","2.32%"
"Germany","USA","BOSTON, MA","386","380","1","0.26%"
"Germany","USA","CHICAGO, IL","383","355","18","4.83%"
"Germany","USA","HOUSTON, TX","397","367","22","5.66%"
"Germany","USA","LOS ANGELES, CA","552","528","14","2.58%"
"Germany","USA","MIAMI, FL","210","199","0",""
"Germany","USA","NEW YORK, NY","860","817","36","4.22%"
"Germany","USA","SAN FRANCISCO, CA","701","683","14","2.01%"
"Germany","USA","WASHINGTON, DC","267","262","2","0.76%"
"Germany","UZBEKISTAN","TASHKENT","2,082","1,714","257","13.04%"
"Germany","VENEZUELA","CARACAS","3","3","0",""
"Germany","VIETNAM","HANOI","65","60","1","1.64%"
"Germany","VIETNAM","HO CHI MINH","63","38","25","39.68%"
"Germany","ZAMBIA","LUSAKA","273","210","60","22.22%"
"Germany","ZIMBABWE","HARARE","94","61","22","26.51%"
"Greece","ALBANIA","GJIROKASTER","1","1","0",""
"Greece","ALBANIA","KORCE","3","3","0",""
"Greece","ALBANIA","TIRANA","109","104","0",""
"Greece","ALGERIA","ALGIERS","59","33","17","34.00%"
"Greece","ARGENTINA","BUENOS AIRES","10","2","8","80.00%"
"Greece","ARMENIA","YEREVAN","4,681","4,209","455","9.76%"
"Greece","AUSTRALIA","MELBOURNE","6","6","0",""
"Greece","AUSTRALIA","SYDNEY","14","12","1","7.69%"
"Greece","AUSTRIA","VIENNA","4","4","0",""
"Greece","AZERBAIJAN","BAKU","322","304","11","3.49%"
"Greece","BOSNIA AND HERZEGOVINA","SARAJEVO","8","6","2","25.00%"
"Greece","BRAZIL","SAO PAULO","2","2","0",""
"Greece","BULGARIA","SOFIA","624","616","6","0.96%"
"Greece","CANADA","MONTREAL","111","99","10","9.17%"
"Greece","CANADA","OTTAWA","21","17","3","15.00%"
"Greece","CANADA","TORONTO","202","199","3","1.49%"
"Greece","CANADA","VANCOUVER","66","65","1","1.52%"
"Greece","CHILE","SANTIAGO DE CHILE","2","2","0",""
"Greece","CHINA","BEIJING","780","691","49","6.62%"
"Greece","CHINA","GUANGZHOU (CANTON)","300","222","58","20.71%"
"Greece","CHINA","SHANGHAI","444","411","16","3.75%"
"Greece","CONGO (DEMOCRATIC REPUBLIC)","KINSHASA","55","47","0",""
"Greece","CUBA","HAVANA","114","114","0",""
"Greece","CYPRUS","NICOSIA","699","503","187","27.10%"
"Greece","EGYPT","ALEXANDRIA","283","279","1","0.36%"
"Greece","EGYPT","CAIRO","1,214","1,183","10","0.84%"
"Greece","ETHIOPIA","ADDIS ABEBA","134","129","1","0.77%"
"Greece","FRANCE","PARIS","12","12","0",""
"Greece","GERMANY","STUTTGART","3","3","0",""
"Greece","HONG KONG S.A.R.","HONG KONG","43","43","0",""
"Greece","INDIA","NEW DELHI","2,615","1,782","799","30.96%"
"Greece","INDONESIA","JAKARTA","431","428","2","0.47%"
"Greece","IRAN","TEHERAN","524","487","4","0.81%"
"Greece","IRAQ","BAGHDAD","274","238","17","6.67%"
"Greece","IRAQ","ERBIL","84","79","4","4.82%"
"Greece","IRELAND","DUBLIN","318","316","0",""
"Greece","ISRAEL","JERUSALEM","447","404","2","0.49%"
"Greece","ISRAEL","TEL AVIV","149","146","3","2.01%"
"Greece","ITALY","ROME","5","4","0",""
"Greece","JAPAN","TOKYO","27","26","0",""
"Greece","JORDAN","AMMAN","3,493","2,847","580","16.92%"
"Greece","KAZAKHSTAN","NUR-SULTAN","515","495","17","3.32%"
"Greece","KENYA","NAIROBI","394","385","7","1.79%"
"Greece","KOSOVO","PRISTINA","4,599","4,539","47","1.02%"
"Greece","KUWAIT","KUWAIT","3,565","3,384","153","4.33%"
"Greece","LEBANON","BEIRUT","7,116","5,984","1,055","14.99%"
"Greece","MEXICO","MEXICO CITY","2","2","0",""
"Greece","MONTENEGRO","PODGORICA","49","49","0",""
"Greece","MOROCCO","RABAT","60","53","5","8.62%"
"Greece","NIGERIA","ABUJA","1,513","1,039","466","30.96%"
"Greece","NORTH MACEDONIA","BITOLA","6","6","0",""
"Greece","NORTH MACEDONIA","SKOPJE","250","246","3","1.20%"
"Greece","PAKISTAN","ISLAMABAD","324","313","2","0.63%"
"Greece","PHILIPPINES","MANILA","3,721","3,690","0",""
"Greece","QATAR","DOHA","3,500","3,138","342","9.83%"
"Greece","ROMANIA","BUCHAREST","325","267","57","17.59%"
"Greece","RUSSIAN FEDERATION","MOSCOW","154,339","149,904","3,857","2.51%"
"Greece","RUSSIAN FEDERATION","NOVOROSSIYSK","9,287","7,854","1,259","13.82%"
"Greece","RUSSIAN FEDERATION","ST. PETERSBURG","15,558","15,139","294","1.91%"
"Greece","SAUDI ARABIA","JEDDAH","2,789","2,553","112","4.20%"
"Greece","SAUDI ARABIA","RIYADH","7,385","6,880","406","5.57%"
"Greece","SERBIA","BELGRADE","170","170","0",""
"Greece","SINGAPORE","SINGAPORE","112","101","6","5.61%"
"Greece","SOUTH AFRICA","CAPE TOWN","183","180","0",""
"Greece","SOUTH AFRICA","JOHANNESBURG","240","236","1","0.42%"
"Greece","SOUTH KOREA","SEOUL","6","6","0",""
"Greece","SPAIN","MADRID","1","1","0",""
"Greece","SWEDEN","STOCKHOLM","1","1","0",""
"Greece","THAILAND","BANGKOK","84","69","9","11.54%"
"Greece","TUNISIA","TUNIS","884","691","138","16.65%"
"Greece","TURKEY","ANKARA","1,165","907","238","20.79%"
"Greece","TURKEY","EDIRNE","3,644","3,430","202","5.56%"
"Greece","TURKEY","ISTANBUL","29,033","25,805","2,955","10.27%"
"Greece","TURKEY","IZMIR","4,560","4,138","382","8.45%"
"Greece","UKRAINE","KYIV","184","157","26","14.21%"
"Greece","UKRAINE","MARIUPOL","44","41","1","2.38%"
"Greece","UKRAINE","ODESA","154","144","9","5.88%"
"Greece","UNITED ARAB EMIRATES","ABU DHABI","13,950","9,791","4,027","29.14%"
"Greece","UNITED KINGDOM","LONDON","4,526","4,311","186","4.14%"
"Greece","USA","ATLANTA, GA","103","72","29","28.71%"
"Greece","USA","BOSTON, MA","167","166","1","0.60%"
"Greece","USA","CHICAGO, IL","234","233","0",""
"Greece","USA","HOUSTON, TX","153","152","0",""
"Greece","USA","LOS ANGELES, CA","198","197","1","0.51%"
"Greece","USA","NEW YORK, NY","577","576","1","0.17%"
"Greece","USA","SAN FRANCISCO, CA","147","147","0",""
"Greece","USA","TAMPA, FL","99","99","0",""
"Greece","USA","WASHINGTON, DC","817","815","1","0.12%"
"Greece","VENEZUELA","CARACAS","2","2","0",""
"Greece","VIETNAM","HANOI","72","68","0",""
"Greece","ZIMBABWE","HARARE","135","132","1","0.75%"
"Hungary","ALGERIA","ALGIERS","159","124","33","21.02%"
"Hungary","ANGOLA","LUANDA","21","21","0",""
"Hungary","ARGENTINA","BUENOS AIRES","2","2","0",""
"Hungary","AZERBAIJAN","BAKU","1,998","1,839","152","7.63%"
"Hungary","BELARUS","MINSK","13,232","13,075","128","0.97%"
"Hungary","BOSNIA AND HERZEGOVINA","SARAJEVO","4","4","0",""
"Hungary","BULGARIA","SOFIA","143","138","3","2.13%"
"Hungary","CANADA","OTTAWA","19","15","4","21.05%"
"Hungary","CHINA","BEIJING","753","744","4","0.53%"
"Hungary","CHINA","CHONGQING","24","24","0",""
"Hungary","CHINA","SHANGHAI","240","192","26","11.93%"
"Hungary","COLOMBIA","BOGOTA","9","1","8","88.89%"
"Hungary","CROATIA","ZAGREB","59","57","1","1.72%"
"Hungary","CUBA","HAVANA","51","51","0",""
"Hungary","ECUADOR","QUITO","52","52","0",""
"Hungary","EGYPT","CAIRO","627","541","62","10.28%"
"Hungary","ETHIOPIA","ADDIS ABEBA","121","102","12","10.53%"
"Hungary","GHANA","ACCRA","78","69","7","9.21%"
"Hungary","INDIA","MUMBAI","1,646","1,252","229","15.46%"
"Hungary","INDIA","NEW DELHI","879","337","536","61.40%"
"Hungary","INDONESIA","JAKARTA","235","231","2","0.86%"
"Hungary","IRAN","TEHERAN","178","147","28","16.00%"
"Hungary","IRAQ","ERBIL","118","67","51","43.22%"
"Hungary","IRELAND","DUBLIN","56","50","5","9.09%"
"Hungary","ISRAEL","TEL AVIV","210","200","4","1.96%"
"Hungary","JAPAN","TOKYO","18","15","2","11.76%"
"Hungary","JORDAN","AMMAN","110","71","0",""
"Hungary","KAZAKHSTAN","ALMATY","2,691","2,333","337","12.62%"
"Hungary","KENYA","NAIROBI","104","73","19","20.65%"
"Hungary","KOSOVO","PRISTINA","291","228","48","17.39%"
"Hungary","KUWAIT","KUWAIT","135","130","5","3.70%"
"Hungary","KYRGYZSTAN","BISHKEK","489","373","82","18.02%"
"Hungary","LEBANON","BEIRUT","59","53","6","10.17%"
"Hungary","MALAYSIA","KUALA LUMPUR","1","1","0",""
"Hungary","MEXICO","MEXICO CITY","6","6","0",""
"Hungary","MOLDOVA","CHISINAU","72","62","2","3.12%"
"Hungary","MONGOLIA","ULAN BATOR","213","207","0",""
"Hungary","MOROCCO","RABAT","132","100","29","22.48%"
"Hungary","NIGERIA","ABUJA","190","85","95","52.78%"
"Hungary","NORTH MACEDONIA","SKOPJE","5","3","2","40.00%"
"Hungary","OMAN","MUSCAT","19","19","0",""
"Hungary","PAKISTAN","ISLAMABAD","139","92","47","33.81%"
"Hungary","PERU","LIMA","1","1","0",""
"Hungary","PHILIPPINES","MANILA","56","53","1","1.85%"
"Hungary","QATAR","DOHA","94","91","1","1.09%"
"Hungary","ROMANIA","BUCHAREST","200","162","38","19.00%"
"Hungary","RUSSIAN FEDERATION","KAZAN","4,085","4,057","14","0.34%"
"Hungary","RUSSIAN FEDERATION","MOSCOW","22,227","21,913","283","1.28%"
"Hungary","RUSSIAN FEDERATION","ST. PETERSBURG","5,647","5,623","18","0.32%"
"Hungary","RUSSIAN FEDERATION","YEKATERINBURG","3,756","3,742","7","0.19%"
"Hungary","SAUDI ARABIA","RIYADH","401","361","37","9.30%"
"Hungary","SERBIA","BELGRADE","249","214","32","13.01%"
"Hungary","SERBIA","SUBOTICA","33","32","1","3.03%"
"Hungary","SINGAPORE","SINGAPORE","22","22","0",""
"Hungary","SOUTH AFRICA","PRETORIA","114","111","0",""
"Hungary","SOUTH KOREA","SEOUL","3","3","0",""
"Hungary","TAIWAN","TAIPEI","2","2","0",""
"Hungary","THAILAND","BANGKOK","75","75","0",""
"Hungary","TUNISIA","TUNIS","76","63","10","13.70%"
"Hungary","TURKEY","ANKARA","950","787","162","17.07%"
"Hungary","TURKEY","ISTANBUL","4,039","3,535","488","12.13%"
"Hungary","UKRAINE","BEREHOVE","36","32","4","11.11%"
"Hungary","UKRAINE","KYIV","584","563","21","3.60%"
"Hungary","UKRAINE","UZHHOROD","82","69","13","15.85%"
"Hungary","UNITED ARAB EMIRATES","ABU DHABI","809","604","188","23.74%"
"Hungary","UNITED KINGDOM","LONDON","413","387","23","5.61%"
"Hungary","USA","CHICAGO, IL","13","12","1","7.69%"
"Hungary","USA","LOS ANGELES, CA","29","26","2","7.14%"
"Hungary","USA","NEW YORK, NY","48","44","3","6.38%"
"Hungary","USA","WASHINGTON, DC","27","24","2","7.69%"
"Hungary","UZBEKISTAN","TASHKENT","573","567","2","0.35%"
"Hungary","VIETNAM","HANOI","16","15","0",""
"Hungary","VIETNAM","HO CHI MINH","21","21","0",""
"Iceland","CHINA","BEIJING","28","23","0",""
"Iceland","INDIA","NEW DELHI","929","653","250","27.69%"
"Iceland","RUSSIAN FEDERATION","MOSCOW","164","153","1","0.65%"
"Iceland","UNITED KINGDOM","LONDON","798","792","2","0.25%"
"Iceland","USA","WASHINGTON, DC","816","789","6","0.75%"
"Italy","AFGHANISTAN","KABUL","316","288","28","8.86%"
"Italy","ALBANIA","TIRANA","200","199","1","0.50%"
"Italy","ALBANIA","VLORE","26","26","0",""
"Italy","ALGERIA","ALGIERS","3,593","2,913","680","18.93%"
"Italy","ANGOLA","LUANDA","169","162","7","4.14%"
"Italy","ARGENTINA","BUENOS AIRES","10","10","0",""
"Italy","ARMENIA","YEREVAN","1,915","1,594","321","16.76%"
"Italy","AUSTRALIA","ADELAIDE","1","1","0",""
"Italy","AUSTRALIA","BRISBANE","5","5","0",""
"Italy","AUSTRALIA","CANBERRA","6","6","0",""
"Italy","AUSTRALIA","MELBOURNE","15","14","1","6.67%"
"Italy","AUSTRALIA","PERTH","2","2","0",""
"Italy","AUSTRALIA","SYDNEY","18","18","0",""
"Italy","AUSTRIA","VIENNA","13","13","0",""
"Italy","AZERBAIJAN","BAKU","809","749","60","7.42%"
"Italy","BAHRAIN","MANAMA","906","821","85","9.38%"
"Italy","BANGLADESH","DHAKA","883","765","118","13.36%"
"Italy","BELARUS","MINSK","2,983","2,968","15","0.50%"
"Italy","BELGIUM","BRUSSELS","8","6","2","25.00%"
"Italy","BOLIVIA","LA PAZ","304","220","84","27.63%"
"Italy","BOSNIA AND HERZEGOVINA","SARAJEVO","28","26","2","7.14%"
"Italy","BRAZIL","BELO HORIZONTE","1","1","0",""
"Italy","BRAZIL","BRASILIA","1","1","0",""
"Italy","BRAZIL","PORTO ALEGRE","8","7","1","12.50%"
"Italy","BRAZIL","RECIFE","3","3","0",""
"Italy","BRAZIL","RIO DE JANEIRO","5","5","0",""
"Italy","BRAZIL","SAO PAULO","3","2","1","33.33%"
"Italy","BULGARIA","SOFIA","127","125","2","1.57%"
"Italy","CAMEROON","YAONDE","566","326","240","42.40%"
"Italy","CANADA","MONTREAL","109","108","1","0.92%"
"Italy","CANADA","OTTAWA","31","29","2","6.45%"
"Italy","CANADA","TORONTO","311","302","9","2.89%"
"Italy","CANADA","VANCOUVER","170","167","3","1.76%"
"Italy","CHILE","SANTIAGO DE CHILE","38","38","0",""
"Italy","CHINA","BEIJING","620","570","50","8.06%"
"Italy","CHINA","CHONGQING","215","198","17","7.91%"
"Italy","CHINA","GUANGZHOU (CANTON)","519","407","112","21.58%"
"Italy","CHINA","SHANGHAI","640","538","102","15.94%"
"Italy","COLOMBIA","BOGOTA","12","11","1","8.33%"
"Italy","CONGO (BRAZZAVILLE)","BRAZZAVILLE","28","26","2","7.14%"
"Italy","CONGO (DEMOCRATIC REPUBLIC)","KINSHASA","437","389","48","10.98%"
"Italy","COSTA RICA","SAN JOSE","3","3","0",""
"Italy","COTE D'IVOIRE","ABIDJAN","1,026","891","135","13.16%"
"Italy","CROATIA","ZAGREB","460","458","2","0.43%"
"Italy","CUBA","HAVANA","2,920","2,588","332","11.37%"
"Italy","CYPRUS","NICOSIA","603","591","12","1.99%"
