"Country where consulate is located","Schengen State","Consulate","Uniform visas applied for","Multiple entry uniform visas (MEVs) issued","Total uniform visas not issued","Not issued rate for uniform visas"
"Colombia","Spain","Bogota","322","308","14","4.3%"
"Peru","Spain","Lima","194","176","8","4.3%"
"South Africa","France","Cape Town","8,795","8,273","377","4.3%"
"Vanuatu","France","Port Vila","50","45","2","4.3%"
"Indonesia","Germany","Jakarta","12,327","11,589","522","4.3%"
"Turkmenistan","Germany","Ashgabat","2,206","1,845","95","4.3%"
"Canada","Greece","Montreal","189","180","8","4.3%"
"South Africa","Greece","Johannesburg","7,168","6,828","310","4.3%"
"Thailand","Greece","Bangkok","1,257","1,200","53","4.2%"
"Vietnam","Hungary","Hanoi","668","640","28","4.2%"
"Peru","Netherlands","Lima","121","114","5","4.2%"
"Armenia","Poland","Yerevan","3,070","2,924","130","4.2%"
"China","Poland","Chengdu","48","46","2","4.2%"
"Usa","Austria","New York, Ny","1,249","1,181","52","4.2%"
"Chile","Belgium","Santiago De Chile","25","23","1","4.2%"
"United Kingdom","Denmark","London","6,955","6,021","264","4.2%"
"South Africa","Finland","Pretoria","1,267","1,197","52","4.2%"
"United Kingdom","France","London","91,702","83,021","3,552","4.1%"
"Bangladesh","Germany","Dhaka","1,952","1,840","80","4.1%"
"Türkiye","Greece","Edirne","11,272","10,780","465","4.1%"
"Kuwait","Spain","Kuwait","29,297","27,481","1,170","4.1%"
"Usa","Spain","New York, Ny","7,256","6,908","294","4.1%"
"Cyprus","Slovakia","Nicosia","1,023","951","40","4.0%"
"Azerbaijan","Greece","Baku","1,505","1,437","60","4.0%"
"Australia","Italy","Perth","151","145","6","4.0%"
"Mozambique","Finland","Maputo","153","142","6","4.0%"
"Saudi Arabia","France","Riyadh","63,124","58,562","2,470","4.0%"
"Oman","Italy","Muscat","4,371","4,190","175","4.0%"
"Turkmenistan","Italy","Ashgabat","454","436","18","4.0%"
"Saudi Arabia","Malta","Riyadh","602","568","24","4.0%"
"Croatia","Poland","Zagreb","25","24","1","4.0%"
"Australia","Portugal","Sydney","101","97","4","4.0%"
"Algeria","Switzerland","Algiers","3,644","2,171","1,455","39.9%"
"Pakistan","France","Islamabad","8,959","5,302","3,513","39.8%"
"Tunisia","Austria","Tunis","2,152","1,295","852","39.6%"
"Senegal","France","Dakar","27,556","15,764","10,347","39.6%"
"Tunisia","Greece","Tunis","1,710","983","649","39.6%"
"Pakistan","Hungary","Islamabad","845","505","340","39.6%"
"Cote D'Ivoire","Belgium","Abidjan","2,601","1,471","958","39.4%"
"India","Hungary","New Delhi","6,916","4,204","2,712","39.2%"
"Ghana","Italy","Accra","1,512","923","589","39.0%"
"Senegal","Austria","Dakar","613","375","237","38.7%"
"Nigeria","France","Lagos","21,418","12,944","8,130","38.6%"
"Israel","Estonia","Tel Aviv","26","16","10","38.5%"
"Sudan","Germany","Khartoum","1,321","785","500","38.3%"
"United Arab Emirates","Malta","Abu Dhabi","714","426","265","38.2%"
"Bolivia","Spain","La Paz","9,051","5,570","3,399","37.9%"
"Ethiopia","Belgium","Addis Abeba","1,480","883","544","37.7%"
"Türkiye","Belgium","Istanbul","7,211","4,230","2,566","37.7%"
"Iraq","Netherlands","Erbil","1,438","843","528","37.7%"
"Cuba","Belgium","Havana","1,513","855","516","37.6%"
"Morocco","Belgium","Rabat","11,686","6,374","3,847","37.6%"
"Jordan","Norway","Amman","2,818","1,627","1,055","37.4%"
"Kenya","Sweden","Nairobi","12,973","7,832","4,698","37.3%"
"Burundi","Belgium","Bujumbura","3,046","1,846","1,094","37.2%"
"China","Sweden","Beijing","1,368","850","499","37.0%"
"Iran","Germany","Teheran","25,759","16,160","9,494","36.9%"
"Australia","Germany","Sydney","41","7","15","36.6%"
"Cote D'Ivoire","Germany","Abidjan","1,700","1,059","608","36.5%"
"Comoros","France","Moroni","2,770","1,695","974","36.5%"
"Italy","Sweden","Rome","12","7","4","36.4%"
"Nigeria","Czech Republic","Abuja","424","270","154","36.3%"
"Nigeria","Austria","Abuja","1,720","1,093","623","36.2%"
"Djibouti","France","Djibouti","4,530","2,823","1,602","36.2%"
"India","Portugal","New Delhi","3,439","2,193","1,246","36.2%"
"Sudan","Spain","Khartoum","2,417","1,432","865","36.0%"
"Cuba","Austria","Havana","667","428","239","35.8%"
"Morocco","Austria","Rabat","1,503","956","534","35.7%"
"Georgia","Czech Republic","Tbilissi","154","97","55","35.7%"
"Libya","Malta","Tripoli","5,793","3,671","2,034","35.6%"
"Lebanon","Germany","Beirut","7,795","4,895","2,734","35.3%"
"Tajikistan","Germany","Dushanbe","3,818","2,381","1,334","35.2%"
"Congo (Democratic Republic)","Belgium","Kinshasa","23,713","14,987","8,150","35.2%"
"South Korea","Finland","Seoul","39","24","13","35.1%"
"Pakistan","Germany","Islamabad","7,628","4,864","2,662","35.1%"
"Tanzania","Finland","Dar Es Salaam","347","214","115","35.0%"
"Argentina","Switzerland","Buenos Aires","20","13","7","35.0%"
"India","Greece","New Delhi","27,457","17,137","9,118","34.7%"
"Mali","Germany","Bamako","888","568","302","34.6%"
"Croatia","Belgium","Zagreb","29","17","9","34.6%"
"United Arab Emirates","Czech Republic","Abu Dhabi","8,370","5,445","2,880","34.4%"
"Türkiye","Greece","Ankara","5,712","3,678","1,928","34.3%"
"Croatia","Austria","Zagreb","260","158","89","34.2%"
"India","Czech Republic","New Delhi","5,396","3,455","1,840","34.1%"
"Cuba","Sweden","Havana","1,640","1,090","565","34.1%"
"Sri Lanka","Switzerland","Colombo","5,153","3,328","1,754","34.0%"
"Türkiye","Denmark","Ankara","5,407","3,526","1,822","34.0%"
"Ethiopia","Netherlands","Addis Abeba","1,945","1,251","647","34.0%"
"Guinea","Germany","Conakry","1,490","977","502","33.9%"
"Ireland","Estonia","Dublin","115","72","39","33.9%"
"Iran","Finland","Teheran","1,836","1,177","608","33.9%"
"Pakistan","Italy","Karachi","3,696","2,447","1,246","33.7%"
"Mali","Spain","Bamako","1,565","979","513","33.7%"
"Gabon","Italy","Libreville","700","464","235","33.6%"
"Nigeria","Italy","Lagos","10,383","6,912","3,467","33.4%"
"Finland","Netherlands","Helsinki","3","2","1","33.3%"
"Sweden","Norway","Stockholm","3","2","1","33.3%"
"Chile","Poland","Santiago De Chile","3","2","1","33.3%"
"Guinea-Bissau","Portugal","Bissau","2,852","1,902","950","33.3%"
"Hungary","Portugal","Budapest","3","2","1","33.3%"
"Albania","Hungary","Tirana","12","8","4","33.3%"
"France","Belgium","Paris","3","2","1","33.3%"
"Spain","Belgium","Madrid","7","3","2","33.3%"
"Brazil","Czech Republic","Sao Paulo","9","6","3","33.3%"
"Austria","Denmark","Vienna","3","2","1","33.3%"
"Germany","Denmark","Flensburg","2","2","1","33.3%"
"Kenya","Denmark","Nairobi","3,019","1,717","861","33.3%"
"Sweden","Denmark","Stockholm","3","2","1","33.3%"
"United Arab Emirates","Estonia","Abu Dhabi","3","2","1","33.3%"
"Chile","Finland","Santiago De Chile","16","6","3","33.3%"
"Brazil","Spain","Porto Alegre","23","14","7","33.3%"
"Venezuela","Spain","Caracas","99","61","32","33.3%"
"Türkiye","Latvia","Ankara","909","604","301","33.2%"
"Nepal","Switzerland","Kathmandu","1,859","1,243","616","33.1%"
"Cameroon","Germany","Yaonde","3,348","2,232","1,106","33.1%"
"Dominican Republic","Netherlands","Santo Domingo","1,761","1,156","567","32.9%"
"Algeria","Poland","Algiers","2,276","1,454","797","32.8%"
"Bangladesh","France","Dhaka","4,460","2,935","1,440","32.8%"
"Cyprus","Finland","Nicosia","251","165","80","32.7%"
"Morocco","Spain","Tanger","56,759","37,022","17,994","32.7%"
"Egypt","Czech Republic","Cairo","1,310","883","426","32.5%"
"Morocco","Sweden","Rabat","2,933","1,922","921","32.4%"
"Central African Republic","France","Bangui","2,004","1,297","616","32.2%"
"Ukraine","Italy","Kyiv","28","19","9","32.1%"
"Mauritania","Germany","Nouakchott","1,598","1,079","507","32.0%"
"Egypt","Belgium","Cairo","3,193","2,076","980","32.0%"
"Türkiye","Norway","Ankara","4,648","2,113","1,482","31.9%"
"Iran","Spain","Teheran","17,951","10,479","5,378","31.9%"
"Cote D'Ivoire","Spain","Abidjan","3,129","1,965","907","31.6%"
"Kyrgyzstan","Switzerland","Bishkek","3,835","2,609","1,213","31.6%"
"Pakistan","Czech Republic","Islamabad","620","425","195","31.5%"
"Ethiopia","Austria","Addis Abeba","1,099","743","345","31.4%"
"China","France","Shenyang","555","335","153","31.4%"
"Haiti","Spain","Port Au Prince","1,218","811","372","31.4%"
"Morocco","Spain","Rabat","26,549","17,608","8,059","31.4%"
"Iran","Greece","Teheran","3,301","2,219","1,017","31.4%"
"Chile","France","Santiago De Chile","484","327","149","31.3%"
"Palestinian Authority","Portugal","Ramallah","16","11","5","31.3%"
"Mauritania","Spain","Nouakchott","16,124","10,639","4,863","31.2%"
"Kenya","Austria","Nairobi","1,257","865","392","31.2%"
"Morocco","Germany","Rabat","6,222","4,262","1,931","31.1%"
"Kosovo","Hungary","Pristina","1,462","1,007","455","31.1%"
"China","Italy","Guangzhou (Canton)","3,618","2,490","1,127","31.1%"
"Egypt","Latvia","Cairo","198","134","61","31.1%"
"Usa","Slovenia","Washington, Dc","217","141","65","31.1%"
"United Arab Emirates","Finland","Abu Dhabi","1,814","1,258","565","31.0%"
"Tunisia","Netherlands","Tunis","6,071","4,062","1,844","31.0%"
"United Arab Emirates","Norway","Abu Dhabi","9,046","6,181","2,804","31.0%"
"Nepal","Finland","Kathmandu","823","561","251","30.9%"
"Russian Federation","Sweden","Moscow","7,459","4,902","2,186","30.8%"
"Cameroon","Spain","Yaonde","924","604","270","30.6%"
"Ghana","France","Accra","4,956","3,424","1,495","30.4%"
"Bosnia And Herzegovina","Netherlands","Sarajevo","57","39","17","30.4%"
"Cuba","Switzerland","Havana","1,165","812","353","30.3%"
"Congo (Brazzaville)","France","Brazzaville","12,257","8,357","3,634","30.3%"
"United Arab Emirates","Latvia","Abu Dhabi","242","169","73","30.2%"
"Morocco","Netherlands","Rabat","17,795","12,119","5,272","30.2%"
"Ethiopia","Italy","Addis Abeba","4,587","3,144","1,386","30.2%"
"Iraq","Italy","Baghdad","4,767","3,330","1,435","30.1%"
"Madagascar","France","Antananarivo","14,284","9,519","4,092","30.1%"
"Morocco","Spain","Agadir","12,766","8,588","3,717","30.1%"
"Senegal","Switzerland","Dakar","1,930","1,316","580","30.1%"
"Ethiopia","Spain","Addis Abeba","1,344","853","387","30.0%"
"Ireland","Portugal","Dublin","852","819","33","3.9%"
"Indonesia","Spain","Jakarta","18,793","17,940","721","3.9%"
"Zimbabwe","Greece","Harare","497","472","19","3.9%"
"Montenegro","Italy","Podgorica","228","218","9","3.9%"
"Thailand","Italy","Bangkok","16,670","16,012","658","3.9%"
"Poland","Italy","Warsaw","131","33","5","3.8%"
"China","Netherlands","Beijing","2,059","1,939","77","3.8%"
"South Africa","Netherlands","Pretoria","12,990","12,279","480","3.8%"
"Belarus","Poland","Brest","4,748","4,653","182","3.8%"
"Usa","Germany","Miami, Fl","532","493","20","3.8%"
"Croatia","Slovenia","Zagreb","475","411","18","3.8%"
"North Macedonia","Spain","Skopje","57","22","2","3.8%"
"Paraguay","Spain","Asuncion","57","50","2","3.8%"
"Russian Federation","Spain","St. Petersburg","10,997","10,133","397","3.8%"
"South Africa","Spain","Cape Town","9,155","8,682","345","3.8%"
"Trinidad And Tobago","Spain","Port Of Spain","107","102","4","3.8%"
"Hong Kong S.A.R.","Belgium","Hong Kong","433","385","15","3.8%"
"Thailand","Austria","Bangkok","8,453","8,140","312","3.7%"
"Usa","Belgium","Washington, Dc","665","605","23","3.7%"
"Chile","Czech Republic","Santiago De Chile","27","26","1","3.7%"
"Israel","Germany","Tel Aviv","1,311","1,249","48","3.7%"
"Kuwait","Germany","Kuwait","29,368","28,282","1,075","3.7%"
"South Africa","Germany","Cape Town","10,000","9,574","369","3.7%"
"South Africa","Lithuania","Pretoria","194","184","7","3.7%"
"Australia","Slovenia","Canberra","29","26","1","3.7%"
"Hong Kong S.A.R.","Switzerland","Hong Kong","531","512","19","3.6%"
"Usa","Germany","San Francisco, Ca","2,544","2,437","92","3.6%"
"China","Greece","Beijing","1,172","1,107","41","3.6%"
"Vietnam","Greece","Hanoi","806","741","28","3.6%"
"Singapore","Italy","Singapore","2,476","2,388","88","3.6%"
"Belarus","Poland","Minsk","4,391","4,232","157","3.6%"
"Georgia","Poland","Tbilissi","353","337","16","3.5%"
"South Africa","Switzerland","Pretoria","7,868","7,574","278","3.5%"
"China","Austria","Shanghai","488","471","17","3.5%"
"United Kingdom","Finland","London","3,620","3,439","125","3.5%"
"Hong Kong S.A.R.","Italy","Hong Kong","740","714","26","3.5%"
"Albania","Spain","Tirana","87","84","3","3.4%"
"Hong Kong S.A.R.","Spain","Hong Kong","713","674","24","3.4%"
"Singapore","Switzerland","Singapore","3,327","3,190","113","3.4%"
"Taiwan","Italy","Taipei","58","56","2","3.4%"
"United Kingdom","Lithuania","London","1,222","1,174","42","3.4%"
"Philippines","Netherlands","Manila","45,354","43,387","1,535","3.4%"
"China","Belgium","Beijing","2,519","2,279","80","3.4%"
"Colombia","Belgium","Bogota","30","28","1","3.4%"
"Bolivia","France","La Paz","94","85","3","3.4%"
"Cyprus","Austria","Nicosia","1,588","1,532","52","3.3%"
"Ireland","Austria","Dublin","897","867","30","3.3%"
"Malaysia","Austria","Kuala Lumpur","486","470","16","3.3%"
"South Africa","Austria","Pretoria","5,552","5,301","185","3.3%"
"Usa","Denmark","New York, Ny","4,419","3,515","121","3.3%"
"Albania","France","Tirana","67","58","2","3.3%"
"South Africa","Portugal","Cape Town","2,434","2,354","80","3.3%"
"Chile","Sweden","Santiago De Chile","29","29","1","3.3%"
"Saudi Arabia","Greece","Jeddah","8,797","8,227","282","3.3%"
"United Kingdom","Greece","London","17,207","16,432","563","3.3%"
"Kuwait","Italy","Kuwait","18,130","17,527","603","3.3%"
"China","Malta","Shanghai","250","238","8","3.3%"
"Usa","Malta","Washington, Dc","31","28","1","3.3%"
"Saudi Arabia","Italy","Riyadh","24,558","23,760","796","3.2%"
"South Africa","Italy","Cape Town","10,316","9,991","325","3.2%"
"Hong Kong S.A.R.","Netherlands","Hong Kong","314","301","10","3.2%"
"Thailand","Switzerland","Bangkok","36,879","35,712","1,165","3.2%"
"Botswana","Germany","Gaborone","1,114","1,074","35","3.2%"
"Usa","Hungary","Los Angeles, Ca","379","367","12","3.2%"
"Philippines","Germany","Manila","14,474","13,921","447","3.1%"
"Indonesia","Hungary","Jakarta","1,967","1,906","61","3.1%"
"Israel","Italy","Tel Aviv","830","804","26","3.1%"
"Hong Kong S.A.R.","Czech Republic","Hong Kong","64","62","2","3.1%"
"Cyprus","Spain","Nicosia","684","627","20","3.1%"
"Usa","Portugal","New York, Ny","507","490","15","3.0%"
"Usa","Portugal","Washington, Dc","957","928","29","3.0%"
"Serbia","Slovenia","Belgrade","610","567","18","3.0%"
"South Korea","Sweden","Seoul","190","159","5","3.0%"
"China","Switzerland","Shanghai","1,325","1,285","40","3.0%"
"Croatia","Hungary","Zagreb","133","129","4","3.0%"
"Usa","Netherlands","Washington, Dc","2,146","1,944","60","3.0%"
"Belarus","Poland","Grodno","8,654","8,392","261","3.0%"
"China","Belgium","Guangzhou (Canton)","139","129","4","3.0%"
"Bulgaria","France","Sofia","343","323","10","3.0%"
"Ethiopia","France","Addis Abeba","3,836","2,578","1,105","29.9%"
"Chile","Spain","Santiago De Chile","536","338","144","29.9%"
"Morocco","Czech Republic","Rabat","490","344","146","29.8%"
"Tunisia","Italy","Tunis","13,060","9,147","3,896","29.8%"
"Bulgaria","Netherlands","Sofia","241","164","70","29.7%"
"Bangladesh","Spain","Dhaka","2,157","1,406","602","29.7%"
"Iran","Netherlands","Teheran","9,066","6,157","2,630","29.6%"
"Tanzania","Poland","Dar Es Salaam","733","511","218","29.6%"
"Usa","Finland","Los Angeles, Ca","413","285","119","29.5%"
"Bolivia","Spain","Santa Cruz De La Sierra","7,350","5,015","2,085","29.4%"
"Egypt","Sweden","Cairo","3,275","2,225","945","29.4%"
"Brazil","Switzerland","Rio De Janeiro","17","12","5","29.4%"
"Cote D'Ivoire","France","Abidjan","45,993","30,216","12,451","29.2%"
"Cote D'Ivoire","Italy","Abidjan","2,369","1,677","689","29.1%"
"Eritrea","Italy","Asmara","1,277","906","370","29.0%"
"Georgia","Netherlands","Tbilissi","352","244","101","29.0%"
"Romania","Portugal","Bucharest","114","76","33","28.9%"
"Lebanon","Spain","Beirut","9,475","5,239","2,641","28.8%"
"Canada","Lithuania","Ottawa","59","41","17","28.8%"
"Cameroon","France","Douala","11,677","8,008","3,237","28.8%"
"Tunisia","France","Tunis","95,515","64,209","25,845","28.7%"
"Niger","Spain","Niamey","826","530","213","28.6%"
"Serbia","Sweden","Belgrade","63","44","18","28.6%"
"Colombia","Czech Republic","Bogota","7","5","2","28.6%"
"Cuba","Czech Republic","Havana","259","185","74","28.6%"
"Mauritania","France","Nouakchott","3,677","2,517","1,010","28.6%"
"Egypt","Finland","Cairo","824","583","233","28.4%"
"Gabon","France","Libreville","15,718","10,783","4,250","28.3%"
"Myanmar","Germany","Yangon","1,701","1,206","477","28.3%"
"Madagascar","Switzerland","Antananarivo","742","532","210","28.3%"
"Lebanon","Hungary","Beirut","495","355","140","28.2%"
"Bolivia","Italy","La Paz","716","514","202","28.2%"
"Morocco","France","Rabat","106,914","74,674","29,233","28.1%"
"Morocco","Italy","Casablanca","8,040","5,580","2,263","28.1%"
"Kosovo","Finland","Pristina","3,484","30","930","28.0%"
"Burkina Faso","France","Ouagadougou","10,310","7,122","2,766","28.0%"
"United Arab Emirates","Sweden","Abu Dhabi","3,566","2,516","984","28.0%"
"Egypt","Spain","Cairo","19,784","13,209","5,115","27.9%"
"India","Slovakia","New Delhi","999","714","275","27.8%"
"Ukraine","Lithuania","Kyiv","41","26","10","27.8%"
"Russian Federation","Austria","Murmansk","13,292","9,523","3,690","27.8%"
"Türkiye","Czech Republic","Ankara","2,707","1,959","748","27.6%"
"Philippines","Finland","Manila","1,587","1,127","430","27.6%"
"Serbia","Netherlands","Belgrade","125","86","34","27.6%"
"Colombia","Sweden","Bogota","1,299","989","376","27.5%"
"China","Austria","Beijing","1,129","819","310","27.5%"
"Brazil","Belgium","Sao Paulo","44","29","11","27.5%"
"Usa","Estonia","New York, Ny","321","226","88","27.5%"
"Cuba","Italy","Havana","6,165","4,475","1,690","27.4%"
"Peru","Switzerland","Lima","62","45","17","27.4%"
"Cape Verde","Portugal","Cidade Da Praia","15,710","11,426","4,284","27.3%"
"Qatar","Greece","Doha","3,895","2,704","1,018","27.3%"
"Ukraine","France","Kyiv","36","37","16","27.1%"
"Kenya","Poland","Nairobi","844","610","228","27.0%"
"Rwanda","Belgium","Kigali","9,751","7,006","2,572","26.9%"
"Kazakhstan","Austria","Astana","4,246","3,126","1,138","26.7%"
"India","France","New Delhi","39,276","28,256","10,296","26.7%"
"United Arab Emirates","Slovakia","Abu Dhabi","487","347","127","26.6%"
"China","Czech Republic","Chengdu","34","25","9","26.5%"
"Iran","Czech Republic","Teheran","2,155","1,585","570","26.5%"
"India","Latvia","New Delhi","616","447","162","26.5%"
"Malaysia","Netherlands","Kuala Lumpur","605","391","141","26.5%"
"Morocco","Spain","Tetouan","14,748","9,687","3,507","26.4%"
"Iran","Poland","Teheran","1,016","731","262","26.3%"
"Ecuador","Italy","Quito","5,618","4,142","1,476","26.3%"
"Morocco","Hungary","Rabat","475","349","126","26.2%"
"Tanzania","Netherlands","Dar Es Salaam","970","691","245","26.2%"
"Israel","Belgium","Jerusalem","545","380","139","26.1%"
"Mongolia","Czech Republic","Ulan Bator","2,777","2,053","724","26.1%"
"Georgia","Germany","Tbilissi","164","119","42","26.1%"
"Iran","Hungary","Teheran","1,731","1,276","455","26.1%"
"Jordan","Netherlands","Amman","7,927","5,675","2,034","26.0%"
"Kenya","Norway","Nairobi","1,764","1,298","451","25.6%"
"India","Spain","New Delhi","39,495","28,650","9,717","25.3%"
"Cuba","France","Havana","4,453","3,259","1,105","25.3%"
"Togo","France","Lome","7,097","5,240","1,763","25.2%"
"Türkiye","Spain","Ankara","6,127","4,254","1,502","25.2%"
"India","Italy","New Delhi","12,660","9,461","3,176","25.1%"
"Belgium","Italy","Brussels","8","6","2","25.0%"
"Uganda","Belgium","Kampala","1,135","829","277","25.0%"
"Russian Federation","Czech Republic","St. Petersburg","24","18","6","25.0%"
"Benin","France","Cotonou","12,647","9,413","3,132","25.0%"
"Chad","France","N'Djamena","6,785","4,972","1,655","25.0%"
"Libya","Italy","Tripoli","8,222","5,539","2,058","25.0%"
"Qatar","Malta","Doha","14","9","3","25.0%"
"Argentina","Poland","Buenos Aires","8","5","2","25.0%"
"Ukraine","Poland","Vinnytsya","6","4","2","25.0%"
"Kenya","Slovakia","Nairobi","90","66","22","25.0%"
"South Korea","Slovakia","Seoul","5","3","1","25.0%"
"Iran","Belgium","Teheran","1,388","851","283","24.9%"
"Malaysia","Germany","Kuala Lumpur","672","501","166","24.9%"
"Egypt","Hungary","Cairo","2,890","2,167","723","24.9%"
"Cyprus","Greece","Nicosia","1,526","1,123","373","24.8%"
"Tunisia","Switzerland","Tunis","4,743","3,547","1,171","24.7%"
"Türkiye","Lithuania","Ankara","1,680","1,222","403","24.6%"
"South Korea","Netherlands","Seoul","212","156","51","24.6%"
"Russian Federation","Malta","Moscow","239","154","50","24.5%"
"Pakistan","Poland","Islamabad","496","354","140","24.5%"
"Equatorial Guinea","Spain","Bata","2,250","1,371","471","24.5%"
"Romania","Sweden","Bucharest","113","81","26","24.3%"
"Thailand","Sweden","Bangkok","15,934","11,977","3,849","24.3%"
"Ghana","Germany","Accra","8,150","6,147","1,972","24.3%"
"Türkiye","Germany","Ankara","64,976","49,108","15,774","24.3%"
"Dominican Republic","Italy","Santo Domingo","4,689","3,550","1,139","24.3%"
"China","Czech Republic","Shanghai","302","229","73","24.2%"
"Equatorial Guinea","France","Malabo","822","550","197","24.1%"
"Mexico","France","Mexico City","201","145","46","24.1%"
"India","Austria","New Delhi","24,791","18,835","5,945","24.0%"
"Russian Federation","Norway","Moscow","4,123","3,130","990","24.0%"
"Angola","Italy","Luanda","1,034","787","247","23.9%"
"United Arab Emirates","Spain","Abu Dhabi","23,419","16,921","5,496","23.9%"
"Ukraine","Estonia","Kyiv","80","60","19","23.8%"
"Ecuador","Spain","Quito","29,077","21,765","6,770","23.7%"
"Guinea","Spain","Conakry","1,052","679","212","23.7%"
"Ukraine","Germany","Kyiv","86","53","17","23.6%"
"Egypt","Italy","Cairo","14,711","11,165","3,446","23.6%"
"Benin","Germany","Cotonou","749","567","174","23.5%"
"Egypt","Lithuania","Cairo","389","294","91","23.5%"
"Egypt","Denmark","Cairo","1,560","1,170","361","23.5%"
"Cameroon","France","Yaonde","8,808","6,519","2,001","23.5%"
"Lebanon","Czech Republic","Beirut","937","704","219","23.4%"
"Senegal","Czech Republic","Dakar","124","95","29","23.4%"
"China","Spain","Shanghai","2,326","1,585","489","23.4%"
"Ecuador","Spain","Guayaquil","29,064","21,589","6,579","23.4%"
"Ukraine","Spain","Kyiv","86","59","18","23.4%"
"Japan","Poland","Tokyo","131","98","30","23.4%"
"United Kingdom","Estonia","London","663","500","153","23.3%"
"Uzbekistan","Germany","Tashkent","13,097","9,969","3,038","23.3%"
"United Kingdom","Slovenia","London","719","518","162","23.3%"
"Kenya","Spain","Nairobi","4,216","3,123","952","23.3%"
"Tunisia","Portugal","Tunis","1,098","843","255","23.2%"
"Cote D'Ivoire","Switzerland","Abidjan","1,527","1,156","354","23.2%"
"Sudan","Switzerland","Khartoum","483","354","112","23.2%"
"Sudan","Netherlands","Khartoum","922","614","210","23.2%"
"India","Poland","New Delhi","3,496","2,666","807","23.2%"
"Tunisia","Poland","Tunis","755","577","174","23.2%"
"Egypt","Portugal","Cairo","2,244","1,720","521","23.2%"
"Panama","Italy","Panama City","104","80","24","23.1%"
"Uganda","Italy","Kampala","2,541","1,954","586","23.1%"
"Tanzania","France","Dar Es Salaam","1,525","1,135","369","23.1%"
"Russian Federation","Germany","Moscow","27,016","20,505","6,210","23.1%"
"Cyprus","Germany","Nicosia","1,763","1,179","400","23.0%"
"Congo (Democratic Republic)","Italy","Kinshasa","1,376","963","316","23.0%"
"Bangladesh","Denmark","Dhaka","1,477","1,114","333","23.0%"
"Argentina","Spain","Buenos Aires","360","276","82","22.9%"
"Senegal","Italy","Dakar","5,193","4,006","1,183","22.8%"
"Morocco","Greece","Rabat","782","589","173","22.7%"
"Dominican Republic","Spain","Santo Domingo","29,079","21,585","6,351","22.7%"
"Equatorial Guinea","Spain","Malabo","7,468","4,839","1,590","22.7%"
"Türkiye","Sweden","Istanbul","13,553","10,529","3,100","22.7%"
"Egypt","Netherlands","Cairo","10,616","7,974","2,354","22.6%"
"Türkiye","Netherlands","Ankara","19,419","14,845","4,330","22.6%"
"Russian Federation","Slovenia","Moscow","3,294","2,361","684","22.5%"
"United Arab Emirates","Greece","Abu Dhabi","15,350","11,765","3,449","22.5%"
"South Korea","Hungary","Seoul","40","31","9","22.5%"
"United Arab Emirates","Germany","Dubai","21,592","16,346","4,790","22.4%"
"United Arab Emirates","Luxembourg","Abu Dhabi","817","618","178","22.4%"
"Ethiopia","Poland","Addis Abeba","503","388","112","22.4%"
"Iran","Austria","Teheran","4,343","3,236","974","22.4%"
"United Arab Emirates","Lithuania","Abu Dhabi","301","232","67","22.3%"
"Morocco","Portugal","Rabat","2,356","1,831","525","22.3%"
"India","France","Pondichery","21,075","15,859","4,520","22.2%"
"Israel","Hungary","Tel Aviv","593","462","131","22.1%"
"Romania","Netherlands","Bucharest","272","207","59","22.1%"
"Russian Federation","Denmark","Moscow","1,170","884","249","22.0%"
"Ethiopia","Germany","Addis Abeba","3,023","2,339","656","21.9%"
"Uganda","Germany","Kampala","3,275","2,525","707","21.9%"
"Cuba","Greece","Havana","342","267","75","21.9%"
"Ethiopia","Greece","Addis Abeba","1,410","1,028","288","21.9%"
"United Arab Emirates","Portugal","Abu Dhabi","1,609","1,248","351","21.8%"
"Türkiye","Germany","Istanbul","126,549","98,855","27,360","21.7%"
"Argentina","Netherlands","Buenos Aires","24","18","5","21.7%"
"Iraq","Netherlands","Baghdad","1,179","853","251","21.7%"
"Kenya","Belgium","Nairobi","1,309","961","275","21.7%"
"Netherlands","Netherlands","Willemstad (Curacao)","331","250","69","21.6%"
"Qatar","Netherlands","Doha","4,800","3,653","1,015","21.6%"
"Angola","Portugal","Luanda","41,984","32,939","9,042","21.5%"
"Tunisia","Germany","Tunis","17,760","13,775","3,790","21.5%"
"Ukraine","Austria","Kyiv","98","77","21","21.4%"
"Russian Federation","Estonia","Moscow","6,075","4,473","1,232","21.4%"
"Canada","Estonia","Ottawa","62","48","13","21.3%"
"Cyprus","Poland","Nicosia","354","273","79","21.3%"
"Zambia","Germany","Lusaka","964","745","202","21.3%"
"United Arab Emirates","Netherlands","Dubai","19,774","15,074","4,125","21.2%"
"Peru","Italy","Lima","38","30","8","21.1%"
"Australia","Norway","Canberra","440","332","93","21.1%"
"Tanzania","Belgium","Dar Es Salaam","1,071","778","209","21.1%"
"Russian Federation","Czech Republic","Yekaterinburg","38","30","8","21.1%"
"Iraq","Germany","Baghdad","5,706","4,322","1,156","21.0%"
"China","Latvia","Beijing","140","110","29","20.9%"
"Uzbekistan","Czech Republic","Tashkent","4,749","3,754","993","20.9%"
"Iran","Denmark","Teheran","1,760","1,364","358","20.7%"
"Kenya","Hungary","Nairobi","437","346","91","20.7%"
"Iran","Switzerland","Teheran","9,075","7,054","1,872","20.6%"
"Japan","Netherlands","Tokyo","435","319","83","20.6%"
